State,Population 2017
.Alabama,"4,874,486"
.Alaska,"739,700"
.Arizona,"7,044,008"
.Arkansas,"3,001,345"
.California,"39,358,497"
.Colorado,"5,611,885"
.Connecticut,"3,573,297"
.Delaware,"956,823"
.District of Columbia,"694,906"
.Florida,"20,963,613"
.Georgia,"10,410,330"
.Hawaii,"1,424,393"
.Idaho,"1,717,715"
.Illinois,"12,778,828"
.Indiana,"6,658,078"
.Iowa,"3,141,550"
.Kansas,"2,908,718"
.Kentucky,"4,452,268"
.Louisiana,"4,670,560"
.Maine,"1,334,612"
.Maryland,"6,023,868"
.Massachusetts,"6,859,789"
.Michigan,"9,973,114"
.Minnesota,"5,566,230"
.Mississippi,"2,988,510"
.Missouri,"6,106,670"
.Montana,"1,052,482"
.Nebraska,"1,915,947"
.Nevada,"2,969,905"
.New Hampshire,"1,348,787"
.New Jersey,"8,885,525"
.New Mexico,"2,091,784"
.New York,"19,589,572"
.North Carolina,"10,268,233"
.North Dakota,"754,942"
.Ohio,"11,659,650"
.Oklahoma,"3,931,316"
.Oregon,"4,143,625"
.Pennsylvania,"12,787,641"
.Rhode Island,"1,055,673"
.South Carolina,"5,021,268"
.South Dakota,"872,868"
.Tennessee,"6,708,799"
.Texas,"28,295,273"
.Utah,"3,101,042"
.Vermont,"624,344"
.Virginia,"8,463,587"
.Washington,"7,423,362"
.West Virginia,"1,817,004"
.Wisconsin,"5,790,186"
.Wyoming,"578,931"
Puerto Rico,"3,325,286"
